 0,75		 0,75		 0,75		 0,75		 0,75		 0,75		    1		    1		  1,3		  1,3		  1,3		 1,15		 1,15		   -1		
   -1		    1		   -1		 0,75		   -1		   -1		 0,75		   -1		  1,3		   -1		   -1		  1,3		   -1		  1,3		
  1,3		   -1		   -1		 0,75		    1		    1		 0,75		 0,75		  1,3		  1,3		  1,3		   -1		  1,3		  1,3		
  1,3		  1,3		  1,3		 0,75		   -1		   -1		   -1		 0,75		   -1		  1,3		   -1		  1,3		  1,3		  1,3		
   -1		  1,3		   -1		 0,75		  1,3		    1		    1		 0,75		  1,3		   -1		  1,3		   -1		   -1		  1,3		
  1,3		  1,3		   -1		 0,75		   -1		  1,3		   -1		 0,75		   -1		  1,3		  1,3		   -1		  1,3		   -1		
  1,3		   -1		   -1		  1,3		 0,75		 0,75		  1,3		   -1		 0,75		   -1		  1,3		  1,3		  1,3		  1,3		
  1,3		  1,3		  1,3		  1,3		   -1		 0,75		   -1		  1,3		 0,75		 0,75		  1,3		   -1		   -1		  1,3		
   -1		  1,3		   -1		  1,3		  1,3		   -1		 0,75		   -1		  1,3		   -1		 0,75		   -1		  1,3		  1,3		
  1,3		   -1		   -1		  1,3		   -1		  1,3		 0,75		    1		    1		  1,3		 0,75		   -1		  1,3		   -1		
  1,3		  1,3		  1,3		   -1		  1,3		   -1		 0,75		   -1		   -1		   -1		 0,75		  1,3		  1,3		  1,3		
  1,3		  1,3		   -1		  1,3		  1,3		  1,3		 0,75		 0,75		    1		    1		 0,75		   -1		   -1		  1,3		
  1,3		   -1		  1,3		   -1		   -1		  1,3		   -1		 0,75		   -1		   -1		 0,75		   -1		    1		   -1		
   -1		 1,15		 1,15		  1,3		  1,3		  1,3		    1		    1		 0,75		 0,75		 0,75		 0,75		 0,75		 0,75		
